Participant,participant&question,question,answer,processed_questions,processed_answers,Overall,Excited
p10,p10q7,Okay.,And  um  I was working on a project with another student  actually another Freshman  uh  basically we were tasked with the  sort of  bringing this project  starting this project  bring it up to the level where it could be presented at conference.,okay.,um work project anoth student actual anoth freshman uh basic task sort bring project start project bring level could present conference.,4.725115255,4.383946889
p10,p10q8,Mm-hmm.,Um  together  and we were kind of left  to work out the cooperation on our own and um   there was  um  as the conference got closer  about halfway  um  about halfway through the year Freshman year  ah  there were a bunch of issues that we had with um  with um  basically meeting the expectations that had been set before us in terms of what we were going to present. Um  and finishing in a timely basis.,mm-hmm.,um togeth kind left work cooper um um confer got closer halfway um halfway year freshman year ah bunch issu um um basic meet expect set us term go present. um finish time basis.,4.725115255,4.383946889
p10,p10q9,Mm-hmm.,And it came down to whether we were really going to be able to  and there were other basically  parts  other people's work in the same group where work depended on us finishing in time  so it really  um  really  we had to make a decision weather we were just going to basically get done what we could  but to the quality standard that  the standard of quality that was expected of us  or to um  try to finish everything and to have other people's work potentially suffer because of our [??] hadn't really been up to snuff. And  um  and so  we kind of had a little bit of a disagreement about this  but what ended up happening was  um  I went and talked to the professor and um  sort of decided to um  make them aware of what was happening  because they weren't really aware that we had fallen behind. And  um  sort of got the other student on board  who had disagreed with me  uh to do this  uh  and to let everyone else know what was going on  and uh  we ended up presenting a lot less than what was originally expected  but  um  I think it was very much for the better.,mm-hmm.,came whether realli go abl basic part people' work group work depend us finish time realli um realli make decis weather go basic get done could qualiti standard standard qualiti expect us um tri finish everyth people' work potenti suffer [??] realli snuff. um kind littl bit disagr end happen um went talk professor um sort decid um make awar happen realli awar fallen behind. um sort got student board disagre uh uh let everyon els know go uh end present lot less origin expect um think much better.,4.725115255,4.383946889
p10,p10q10,Tell me about a time when you were working on a team and you were faced with a challenge. How did you solve the problem?,Okay  um  so  another  another thing that I spend a lot of my time doing is called  is an organization called Design  Build  Fly here  um  it's  it's a design competition um  run by the IAA  which is an aerospace professional organization.  And um   and uh  you can enter a team from any university or group  basically anywhere in the world. It's mostly US university though.,tell time work team face challenge. solv problem?,okay um anoth anoth thing spend lot time call organ call design build fli um design competit um run iaa aerospac profession organization. um uh enter team univers group basic anywher world. mostli us univers though.,4.725115255,4.383946889
p10,p10q11,Mm-hmm.,And  um  these university teams basically build a plane  um  design it  build it  fly it as the competition name suggests and you compete them all at the end of the year  compete against the other universities at the end of the year at one competition. Basically  um  last year we had  uh  a design challenge  it was pretty unique  um  and um  so  I'll take that as our challenge  um  so we basically had a year to solve this  um  and I was head of one of the sub-groups last year  the actual design sub-group  and um  I mean  we approached in a methodical way  just like I think that's the best way to solve most problems.,mm-hmm.,um univers team basic build plane um design build fli competit name suggest compet end year compet univers end year one competition. basic um last year uh design challeng pretti uniqu um um i'll take challeng um basic year solv um head one sub-group last year actual design sub-group um mean approach method way like think that' best way solv problems.,4.725115255,4.383946889
p10,p10q12,Sure.,Um  got input from every team member  um  and um  basically  um  looked at  looked at all our possibilities  um   and um we ran the numbers.  Ultimately  like I think that's the best way to solve most problems. We ended up with um  a design that got the best overall score...,sure.,um got input everi team member um um basic um look look possibl um um ran numbers. ultim like think that' best way solv problems. end um design got best overal score...,4.725115255,4.383946889
p10,p10q13,Mm-hmm.,...on the basis of just  basically incorporating  um  every team member's input.,mm-hmm.,...on basi basic incorpor um everi team member' input.,4.725115255,4.383946889
p10,p10q14,Mm-hmm. Tell me about one of your weaknesses and how you plan to overcome it.,Okay  um  so one of my  I think definitely since coming here  I've noticed that one of my biggest weaknesses is written communication. Um  I really was not intimidated by the thought of it in high school  but I um  definitely since coming here  I find that perhaps um at the expense of technical skills  my written communication skills have atrophied  maybe is the right word. And  um  so I definitely  I think I'm um  pretty aware of this and um  and um.. I would definitely like to improve it and um...,mm-hmm. tell one weak plan overcom it.,okay um one think definit sinc come i'v notic one biggest weak written communication. um realli intimid thought high school um definit sinc come find perhap um expens technic skill written commun skill atrophi mayb right word. um definit think i'm um pretti awar um um.. would definit like improv um...,4.725115255,4.383946889
p10,p10q15,Mm-hmm.,...so what I'm going to do is try to force myself whenever I'm writing papers or taking reports for  whether it be for research or for classes  just to go through the proper revision cycle  force myself to make sure that I'm actually being  um  that I'm being succinct in what I'm saying  have other people reading give me feedback.,mm-hmm.,...so i'm go tri forc whenev i'm write paper take report whether research class go proper revis cycl forc make sure i'm actual um i'm succinct i'm say peopl read give feedback.,4.725115255,4.383946889
p10,p10q16,Now why do you think that we should hire you for this position?,Okay  um  I  um  I mean  I think  I don't know what this position that it is...,think hire position?,okay um um mean think know posit is...,4.725115255,4.383946889
p10,p10q17,Whatever position you want at a company that you're looking for.,Yeah  sure  but if I knew that this position was  I think that I would want it because um  this is really what I thrive off of. I  um  enjoy doing it  um  and I would be excited to come to work every day to do it. Um  which  um  that's like the biggest thing for me. I um  I would be excited to come do it and I know I would put my  you know  put my all into doing a good job at it  because I would be excited to come do it. And  um  I think that um  I have a decent skill set to do this and I think that I'm qualified to contribute in this area.,whatev posit want compani look for.,yeah sure knew posit think would want um realli thrive of. um enjoy um would excit come work everi day it. um um that' like biggest thing me. um would excit come know would put know put good job would excit come it. um think um decent skill set think i'm qualifi contribut area.,4.725115255,4.383946889
p11,p11q1,So  tell me about yourself.,Uhh  I’m a junior at MIT  uhh I’m double majoring in Management and Biology  er  I’m very interested in the world of finance  uh  business  consulting all of those sorts of things. Um  so I’ve tried to take on different leadership roles that would prepare me for uh  those sort of roles in the business world. Outside of school  I enjoy running  cross-country and track  I’m on the varsity team at MIT. And umm  I’m also very involved in Greek Life at MIT  so I’m on the Panhellenic Executive Board as Vice President of Programming  and also hold a leadership position in my sorority.,tell yourself.,uhh i’m junior mit uhh i’m doubl major manag biolog er i’m interest world financ uh busi consult sort things. um i’v tri take differ leadership role would prepar uh sort role busi world. outsid school enjoy run cross-countri track i’m varsiti team mit. umm i’m also involv greek life mit i’m panhellen execut board vice presid program also hold leadership posit sorority.,5.010430003,4.297760473
p11,p11q2,Great  okay. Can you tell me about a time you demonstrated leadership?,Umm  so I think this past year  my biggest priority has been my position as Vice President of Programming for Panhellenic and umm  just in that position  uhh  I hold a leadership role on the exec board. We have weekly meetings  I’m charge of putting together our programming calendar for our entire year. So I have interface with a lot of MIT faculty and bring together the exec board as a whole and the different sororities uhh  to meet and attend different events. And I think to put together all these events I’m working together with different people on campus I have to show leadership and show strong communication skills.,great okay. tell time demonstr leadership?,umm think past year biggest prioriti posit vice presid program panhellen umm posit uhh hold leadership role exec board. weekli meet i’m charg put togeth program calendar entir year. interfac lot mit faculti bring togeth exec board whole differ soror uhh meet attend differ events. think put togeth event i’m work togeth differ peopl campu show leadership show strong commun skills.,5.010430003,4.297760473
p11,p11q3,Great. So  tell me about a time you were working on a team  and faced a challenge. How did you guys overcome that?,Umm  so I guess this past semester actually  I’m associate advisor for umm  freshmen and I work with my freshmen advisor as well and another associate advisor  and er   the three of us were trying to come up with an event to host for the freshman and I think we all  er  were very uhh  set on our ideas. So having to full time communicate and work on an idea that could bring all our thoughts and goals together . Um  so we had to work together to formulate some sort of event that would satisfy each of our different goals and that was difficult at first  ‘cause we had just met each other and it was difficult to understand where the other people were coming from. But after that  and after communicating what our main goals for the event for would be  we eventually figured out what we wanted to do.,great. tell time work team face challenge. guy overcom that?,umm guess past semest actual i’m associ advisor umm freshmen work freshmen advisor well anoth associ advisor er three us tri come event host freshman think er uhh set ideas. full time commun work idea could bring thought goal togeth . um work togeth formul sort event would satisfi differ goal difficult first ‘caus met difficult understand peopl come from. commun main goal event would eventu figur want do.,5.010430003,4.297760473
p11,p11q4,Can you be more specific about that  what you eventually figured out?,Uhh  yeah so  we had — we were trying to communicate via email at first  so I think that was  uhh inefficient  especially since we had only met in a group once before  umm so meeting in person and really  trying to outline not just like   what the event was going to be  what our purpose of the event was going to be  and what we trying to communicate with the freshmen. I think by boiling down to what our purpose was for the event  we were able to build it up from there.,specif eventu figur out?,uhh yeah — tri commun via email first think uhh ineffici especi sinc met group umm meet person realli tri outlin like event go purpos event go tri commun freshmen. think boil purpos event abl build there.,5.010430003,4.297760473
p11,p11q5,Okay  so can tell me about some of your weakness? Do you have any idea?,Umm  so I think one of my weaknesses is public speaking  actually  and uhh  I think by taking a variety of classes  especially this one class that I’m in  that focuses on management and communication . I’ve been kind of thrown into positions where I have to give impromptu speeches  uhh  and debate my point in different arguments and I think that the practice is helping me a lot and it allows me to become more comfortable and more confident in what I’m saying  which I think helps me in the long run like public speaking in general. I think I’ve been able to build up my confidence and know like  how to structure my speeches and interviews and impromptus better.,okay tell weakness? idea?,umm think one weak public speak actual uhh think take varieti class especi one class i’m focus manag commun . i’v kind thrown posit give impromptu speech uhh debat point differ argument think practic help lot allow becom comfort confid i’m say think help long run like public speak general. think i’v abl build confid know like structur speech interview impromptu better.,5.010430003,4.297760473
p11,p11q6,Great. So why do you think we should hire you?,Uhh  I think my different leadership positions as well as my academic experience  umm would allow me to perform well on the job. I think  I’ve worked umm  both individually in a project as well as in a team-focused environment  which umm  I think is key for consulting and investment banking positions. I also feel that my MIT background  uh  the quantitative analysis that I’ve done in classes  as well as my internship experiences would help perform well on the job as well  so…,great. think hire you?,uhh think differ leadership posit well academ experi umm would allow perform well job. think i’v work umm individu project well team-focus environ umm think key consult invest bank positions. also feel mit background uh quantit analysi i’v done class well internship experi would help perform well job well so…,5.010430003,4.297760473
p12,p12q1,So how are you doing today?,I'm good  how are you?,today?,i'm good you?,5.038525897,5.322525955
p12,p12q2,Good. So  why don't you tell me about yourself?,Ok  so  I'm a Junior at MIT majoring in Mechanical Engineering. Uh my focus is in uh Robotics and Product Design. Uh I'm originally from Seattle  Washington.,good. tell yourself?,ok i'm junior mit major mechan engineering. uh focu uh robot product design. uh i'm origin seattl washington.,5.038525897,5.322525955
p12,p12q3,Ok. Any extracurriculars  any interests?,Ummm I'm really interested in a combination of robotics and like psychology  phased in. So artificial intelligence  or that vein of thinking. Um I'm also  I do a little bit of theater on the side. So  considering doing some sort of combination. It's a wide range of interests so I'm trying to figure out a way to uh put in a lot of it into one thing but  yeah.,ok. extracurricular interests?,ummm i'm realli interest combin robot like psycholog phase in. artifici intellig vein thinking. um i'm also littl bit theater side. consid sort combination. wide rang interest i'm tri figur way uh put lot one thing yeah.,5.038525897,5.322525955
p12,p12q4,Great.,Mmhmm.,great.,mmhmm.,5.038525897,5.322525955
p12,p12q5,Can you tell me about a time you demonstrated leadership?,Yeah  ok. So  um  in high school I was a life guard. And that's  it was a great job but it was a lot of working with other lifeguards in kind of in a  a team situation. Um  and a lot of the times one person would have to step up in order to be a leader with you know uh like swi-  like we taught swim lessons. And I would have a partner with me and we'd both be teaching the same kids. And  I'd have to  you know  tell them what to do  or tell them what exactly we were going to do during that class. That sort of stuff.,tell time demonstr leadership?,yeah ok. um high school life guard. that' great job lot work lifeguard kind team situation. um lot time one person would step order leader know uh like swi- like taught swim lessons. would partner we'd teach kids. i'd know tell tell exactli go class. sort stuff.,5.038525897,5.322525955
p12,p12q6,Ok great. What about  can you tell me about a time you worked on a team  and you had a conflict or challenge  and how you went about solving that.,Ok ummm  not going to use the lifeguard example again. Uhhhh in high school we would have to work on team projects a lot  ummm I don't know in history class or that kind of a thing  work  working with projects. And sometimes we'd have kids who wouldn't do their home- do  you know their part on time  or people who didn't like they  what they were doing. There was one specific time where we had a conflict where one girl just decided she didn't really want to do you know any of the  any of the project  she wasn't really showing up to class  wasn't doing any of the  any of the stuff she had to so we had to talk to her  and figure out what was going on and kind of resolve the conflict in that way.,ok great. tell time work team conflict challeng went solv that.,ok ummm go use lifeguard exampl again. uhhhh high school would work team project lot ummm know histori class kind thing work work projects. sometim we'd kid home- know part time peopl like doing. one specif time conflict one girl decid realli want know project realli show class stuff talk figur go kind resolv conflict way.,5.038525897,5.322525955
p12,p12q7,Can you be more specific?,In what way? Like -,specific?,way? like -,5.038525897,5.322525955
p12,p12q8,Like  you  you just spoke with her?,Yeah. So I mean us as a group we met with the teacher umm and told her what was happening. And then,like spoke her?,yeah. mean us group met teacher umm told happening.,5.038525897,5.322525955
p12,p12q9,Oh ok  ok. Ok  ok.,The next  the next day when the girl came to class we  you know sat her down  asked her why she wasn't doing the homework. Whatever  that kind of stuff. But it was  it was just a case of high school kids not wanting to do anything. So (laughs).,oh ok ok. ok ok.,next next day girl came class know sat ask homework. whatev kind stuff. case high school kid want anything. (laughs).,5.038525897,5.322525955
p12,p12q10,Right  ok. Can you tell me one of your weaknesses  and what you're doing to overcome it?,Ok ummm  I have a really bad habit of trying to do everything all at once  and I sometimes put too much on my plate. And I recognize that you have to delegate tasks in a group or tell someone when they've given you too much to do. So I think it's kind of  in terms of how I'm trying to improve that  is be realistic with myself on the amount of time I have or what my skills are. And if I need help ask for it or if I need someone to do part of it  ask for it. And early on  not the day before something has to be done  tell them that it's not going to happen.,right ok. tell one weak overcom it?,ok ummm realli bad habit tri everyth sometim put much plate. recogn deleg task group tell someon they'v given much do. think kind term i'm tri improv realist amount time skill are. need help ask need someon part ask it. earli day someth done tell go happen.,5.038525897,5.322525955
p12,p12q11,And last question - why do you think we should hire you?,Ummmm I think you should hire me because your company  ummm is a great  would be a great opportunity for me to learn and improve as an Engineer umm and I think I could just add a lot to the team in general in terms of like  like my wide interests  and  and education background.,last question - think hire you?,ummmm think hire compani ummm great would great opportun learn improv engin umm think could add lot team gener term like like wide interest educ background.,5.038525897,5.322525955
p13,p13q1,How are you doing today?,Good.,today?,good.,4.25125135,3.579510047
p13,p13q2,Good. So  why don't you tell me about yourself?,Ok  umm  I'm currently a junior at M.I.T. studying electrical engineering and computer science. Umm  I first became interested in engineering in high school  I guess  when I worked in a lab at  a material science lab  at U.C. Berkley. Umm  and since then I've worked at a variety of different places including labs and at  uh  and in the industry including electrical engineering labs here  and at Standford  and umm Promex Industries  which is a chip packaging company in the silicon valley.,good. tell yourself?,ok umm i'm current junior m.i.t. studi electr engin comput science. umm first becam interest engin high school guess work lab materi scienc lab u.c. berkley. umm sinc i'v work varieti differ place includ lab uh industri includ electr engin lab standford umm promex industri chip packag compani silicon valley.,4.25125135,3.579510047
p13,p13q3,So  tell me about a time you demonstrated leadership.,Umm  in high school I was part of the school orchestra and I played bassoon. I was the principle bassoon there. So  that means I was in charge of the bassoon section. So basically  umm  I ran extra  I ran practices for  within our section outside of  uh   when the orchestra would get together and practice.,tell time demonstr leadership.,umm high school part school orchestra play bassoon. principl bassoon there. mean charg bassoon section. basic umm ran extra ran practic within section outsid uh orchestra would get togeth practice.,4.25125135,3.579510047
p13,p13q4,Mm Hm.,I coordinated that. I also  uh  set up events between the woodwind sections to  uh you know  so people would get to know each other and  you know  we could practice together and things like that.,mm hm.,coordin that. also uh set event woodwind section uh know peopl would get know know could practic togeth thing like that.,4.25125135,3.579510047
p13,p13q5,Great. Ok. Tell me about time you were working on a team and faced a challenge. How did you solve that problem?,Umm  this past summer I worked in Spain. Umm  in operations research and I was part of a research group there. Umm  it was  so  we had  uh  within our team  it was  communicating with each other was the biggest challenge because my Spanish isn't so great and their English wasn't so great.,great. ok. tell time work team face challenge. solv problem?,umm past summer work spain. umm oper research part research group there. umm uh within team commun biggest challeng spanish great english great.,4.25125135,3.579510047
p13,p13q6,Mm hm.,So  umm  what we ended  we basically communicated through like  the papers  through the papers we read  umm  we  well  one thing that helped was  we both got  like everyone  they got better at speaking English  I got better at understanding them. I guess they got better at understanding my Spanish also. So  we were able to communicate by just  you know  talking really slowly  repeating everything a couple times. Umm  we also did a lot of technical things and so those were mostly related to technical papers and things like that. Those were written mostly in English  so that was  that wasn't so much of a problem for me...but...it made it  because they were working in the area already and I was new to the area  looking through these made it easier for me to understand what my role was  what I was supposed to do. Umm  things like that.,mm hm.,umm end basic commun like paper paper read umm well one thing help got like everyon got better speak english got better understand them. guess got better understand spanish also. abl commun know talk realli slowli repeat everyth coupl times. umm also lot technic thing mostli relat technic paper thing like that. written mostli english much problem me...but...it made work area alreadi new area look made easier understand role suppos do. umm thing like that.,4.25125135,3.579510047
p13,p13q7,Ok  great.  Can you tell me about one of your weaknesses and what you were doing to overcome it?,umm  well  one thing right now is that I can get really hung up on small details and  uh  it becomes a problem because its  it can be distracting and cause me to lose sight of  like  the big picture. But since coming to M.I.T. I've been  I've been involved in a lot of classes  a lot of activites and things and that's forced me to manage my time better.  So  now that  uh  like  I have  because I have a lot of time constraints  I'm forced to finish a project or assignment or whatever  and I can't  I can't get caught up in  like  little things that don't ultimately make a big a difference. So  um  by being forced to manage my time more  I'm  uh  overcoming this problem.,ok great. tell one weak overcom it?,umm well one thing right get realli hung small detail uh becom problem distract caus lose sight like big picture. sinc come m.i.t. i'v i'v involv lot class lot activit thing that' forc manag time better. uh like lot time constraint i'm forc finish project assign whatev can't can't get caught like littl thing ultim make big difference. um forc manag time i'm uh overcom problem.,4.25125135,3.579510047
p13,p13q8,Great  ok. So  why do you think we should hire you?,Well  I have the  I have the quantitative and qualitative skills necessary to accomplish  uh  accomplish project goals and get things done. Uh  I can solve problems and  and can work pretty well in a team.,great ok. think hire you?,well quantit qualit skill necessari accomplish uh accomplish project goal get thing done. uh solv problem work pretti well team.,4.25125135,3.579510047
p13,p13q9,Ok,I'm also very interested in what this company does  and  um  I'd really like to work there.,ok,i'm also interest compani um i'd realli like work there.,4.25125135,3.579510047
p14,p14q1,So  how are you doing today,Good  how are you?,today,good you?,5.80135366,5.204619439
p14,p14q2,Good. Tell me about yourself.,I'm a student at MIT and Im a junior right now but I'm probably gonna graduate this year.  So  uh  that's kind of exciting at scary at the same time.  Uh  like I said I'm a computer science major so some of the stuff that I'm interested in is computational photography and a lot of graphic stuff.  I've got a bunch of experience with web development mainly  uh front end development so that's uh  I guess where a lot of my experience lies.,good. tell yourself.,i'm student mit im junior right i'm probabl gonna graduat year. uh that' kind excit scari time. uh like said i'm comput scienc major stuff i'm interest comput photographi lot graphic stuff. i'v got bunch experi web develop mainli uh front end develop that' uh guess lot experi lies.,5.80135366,5.204619439
p14,p14q3,Great.  Tell me about a time that you demonstrated leadership.,Um  so I was  a member of the Society of Women Engineers and with the Graduate Students Association of MIT and the senior class  they run the fall career fair which is the only career fair in the fall and it's the biggest at MIT.  I was actually the publicity chair for that.  So  it involves you know  interfacing  you know  with over 230 companies and dealing with not only making the guide book and making sure all of the information is readily available to students but also publicizing individual info sessions and obviously the career fair itself.  SO  um  it definitely was a lot of responsibility and not only did I have to become a leader for the Society of Women Engineers but also fora leader for this smaller team of seven people that ran the career fair itself.,great. tell time demonstr leadership.,um member societi women engin graduat student associ mit senior class run fall career fair career fair fall biggest mit. actual public chair that. involv know interfac know 230 compani deal make guid book make sure inform readili avail student also public individu info session obvious career fair itself. um definit lot respons becom leader societi women engin also fora leader smaller team seven peopl ran career fair itself.,5.80135366,5.204619439
p14,p14q4,Great.  Alright.  Tell me about a time when you were working on a team and you faced a challenge.  How did you overcome that problem.,Well  I...so  for one of my classes  we have to  it's a software design class where you have to work with other students.  So  I was assigned two teammates randomly and we had one teammate who really wasn't pulling their weight and wasn't contributing in a way that was you know  fair and even  and so what we ended up doing is  we all thankfully were able to sit down and talk.  We were able to get a hold of her and we realized it was because we were dividing the work in a way that made it really difficult for her  it was not playing off her strengths.  So  we redistributed the work and she was able to do things that were still helpful but played more to her strengths.,great. alright. tell time work team face challenge. overcom problem.,well i...so one class softwar design class work students. assign two teammat randomli one teammat realli pull weight contribut way know fair even end thank abl sit talk. abl get hold realiz divid work way made realli difficult play strengths. redistribut work abl thing still help play strengths.,5.80135366,5.204619439
p14,p14q5,Great.  Okay.  Tell me one of your weaknesses and what you're doing to overcome it.,Um  I think one of my weaknesses is I'm a perfectionist so when I do work on teams I have trouble sometimes delegating tasks because I want to micromanage and make sure everything is just the way it is.  But what I've done to overcome that is basically just sort of familiarized myself with how to um  like  say no to a task and just kind of  I guess  modualize [sic] projects more.  So  I think I had trouble when I was always thinking big picture and then I would want to look at every single detail i that big picture.  But if I just give myself one part of the project and just  you know  divide it into different modules in my head then I'm able to just  you know  perfect my one part but not so much focus on every little detail.,great. okay. tell one weak overcom it.,um think one weak i'm perfectionist work team troubl sometim deleg task want micromanag make sure everyth way is. i'v done overcom basic sort familiar um like say task kind guess modual [sic] project more. think troubl alway think big pictur would want look everi singl detail big picture. give one part project know divid differ modul head i'm abl know perfect one part much focu everi littl detail.,5.80135366,5.204619439
p14,p14q6,Okay.  And why do you think we should hire you?,Uh  I think that my skill set is pretty unique because I'm both technical and also well-spoken and I'd be able to communicate really well.  And I think it's a unique combination to have both of those skills.,okay. think hire you?,uh think skill set pretti uniqu i'm technic also well-spoken i'd abl commun realli well. think uniqu combin skills.,5.80135366,5.204619439
p15,p15q1,Okay so how are you doing today?,I'm doing fine uh  thank you how about you? Um  have you like you know um  the storm  I hope that hasn't like disturbed any power too much.,okay today?,i'm fine uh thank you? um like know um storm hope like disturb power much.,4.625318843,4.538093488
p15,p15q2,No actually it was fine I was expecting it to be a lot worse. I think a lot of people were a lot worse off than I was.,Oh yeah. I mean Boston didn't get hit too bad so.,actual fine expect lot worse. think lot peopl lot wors was.,oh yeah. mean boston get hit bad so.,4.625318843,4.538093488
p15,p15q3,Mm-hm.,That's at least very fortunate.,mm-hm.,that' least fortunate.,4.625318843,4.538093488
p15,p15q4,Great so can you tell me about yourself?,Um  okay so I'm a current junior at MIT.,great tell yourself?,um okay i'm current junior mit.,4.625318843,4.538093488
p15,p15q5,Okay.,I'm studying biological engineering. Um  so it's some  some of the things I do on campus. Um  I'm really involved in um  MIT Met Life. So I'm  I'm secretary of the club and I go to the meetings um  and um  part of my roles like help you know organize groups where um  poster sessions and information sessions. Just like spread the word of Met Life on campus um  and that's um  sort of helps me like explore like it has really gotten me more interested in a field of like healthcare. Um  that plus like my um  my studies.,okay.,i'm studi biolog engineering. um thing campus. um i'm realli involv um mit met life. i'm i'm secretari club go meet um um part role like help know organ group um poster session inform sessions. like spread word met life campu um that' um sort help like explor like realli gotten interest field like healthcare. um plu like um studies.,4.625318843,4.538093488
p15,p15q6,Mm-hm.,Um  I'm also involved in Chinese student club escort culture. So I do a lot of you know pudding on campus for um  events like night market which I worked  I helped organize just last week.,mm-hm.,um i'm also involv chines student club escort culture. lot know pud campu um event like night market work help organ last week.,4.625318843,4.538093488
p15,p15q7,Oh okay.,So um  it that sort of helps me with communication  my communication skills. You know talking to the officers of other student clubs.,oh okay.,um sort help commun commun skills. know talk offic student clubs.,4.625318843,4.538093488
